#gene	-GlcN01	-GlcN02	-GlcN03	-GlcN04	-GlcN05	-GlcN06	+GlcN01	+GlcN02	+GlcN03	+GlcN04	+GlcN05	+GlcN06
ENSMUSG00000086951	3	0	0	1	3	3	4	0	0	1	1	0
ENSMUSG00000061759	293	185	174	187	218	202	245	326	310	184	221	367
ENSMUSG00000085889	4	0	0	0	3	0	0	0	1	2	1	2
ENSMUSG00000040456	1	1	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000093616	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037263	11	58	149	79	7	3	123	3	3	6	14	3
ENSMUSG00000044854	19	8	13	11	29	13	14	7	7	9	23	21
ENSMUSG00000074139	0	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000084757	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020164	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000086887	0	0	0	1	0	0	2	0	0	0	0	0
ENSMUSG00000078957	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000085580	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024209	4	2	0	1	4	1	1	0	1	0	3	6
ENSMUSG00000028009	3	13	5	4	6	3	4	9	5	1	4	4
ENSMUSG00000096655	2	0	2	2	1	1	1	2	1	1	4	2
ENSMUSG00000032900	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073598	5	0	0	0	3	0	4	0	1	0	3	0
ENSMUSG00000036162	51	23	28	17	30	20	28	22	20	22	75	32
ENSMUSG00000038323	442	255	299	357	410	590	303	514	403	532	228	670
ENSMUSG00000085800	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046408	4	6	1	4	2	1	4	6	4	2	1	2
ENSMUSG00000021545	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000042184	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000080980	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090307	25	8	17	9	8	8	20	7	7	4	10	13
ENSMUSG00000087204	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000029883	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032566	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084859	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031118	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085265	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070532	9	0	2	0	1	2	0	3	8	4	3	6
ENSMUSG00000052222	5	1	5	2	1	3	1	2	3	0	1	5
ENSMUSG00000058101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071265	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097080	31	22	26	14	27	20	14	18	12	12	19	25
ENSMUSG00000033029	45	29	34	32	38	37	23	46	41	28	33	60
ENSMUSG00000086128	2	1	0	3	0	2	0	4	1	0	0	3
ENSMUSG00000086781	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092499	11	15	10	8	6	13	4	18	5	13	7	24
ENSMUSG00000084811	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078600	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090840	0	1	0	0	0	0	1	1	0	1	0	3
ENSMUSG00000020286	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078667	97	61	73	64	73	70	57	80	70	73	81	121
ENSMUSG00000086046	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000098230	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074346	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079502	4	2	8	2	4	2	5	3	2	2	3	4
ENSMUSG00000097675	18	19	26	12	13	16	10	24	19	13	9	25
ENSMUSG00000032611	2	5	0	0	2	4	0	14	8	5	5	7
ENSMUSG00000074343	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034031	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052371	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085044	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000008307	19	5	11	7	14	12	8	8	12	10	8	19
ENSMUSG00000079407	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087047	4	1	1	2	2	0	4	2	1	1	7	4
ENSMUSG00000042888	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063458	43	22	35	33	58	19	49	15	61	16	72	36
ENSMUSG00000096935	93	62	95	62	81	68	66	96	89	88	112	121
ENSMUSG00000047129	1	0	1	0	0	0	0	1	0	0	3	0
ENSMUSG00000086333	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000092066	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094928	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024786	1	0	1	0	1	2	1	0	1	0	9	2
ENSMUSG00000029526	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072878	0	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000085614	7	1	0	2	1	0	1	2	0	1	5	1
ENSMUSG00000086080	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040822	438	271	352	311	340	345	333	370	310	300	311	527
ENSMUSG00000085263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097584	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085197	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018479	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031998	2	0	2	1	2	0	0	0	0	1	1	4
ENSMUSG00000021977	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086550	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000071653	271	169	239	192	228	209	209	201	215	153	225	284
ENSMUSG00000094808	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078607	114	38	110	35	68	66	62	83	37	44	70	103
ENSMUSG00000041707	109	23	40	30	120	9	56	25	27	17	352	111
ENSMUSG00000056313	655	508	337	391	509	607	514	846	280	229	508	1089
ENSMUSG00000022507	827	430	671	612	629	576	669	618	973	744	692	1092
ENSMUSG00000097412	46	35	50	18	28	21	31	52	37	17	28	44
ENSMUSG00000086390	46	34	40	28	32	33	48	30	20	36	12	49
ENSMUSG00000037600	3	1	0	1	3	5	1	1	1	0	1	0
ENSMUSG00000089997	2	1	1	0	0	0	0	2	1	0	1	0
ENSMUSG00000087331	28	18	24	14	20	17	23	32	9	9	15	33
ENSMUSG00000078784	425	242	310	266	304	287	287	371	370	218	310	416
ENSMUSG00000044145	13	5	6	16	8	9	6	14	6	10	9	12
